%time sig_sin_out sig_adc_out freq_val_de
0 0 0000000000000000 0
5e-08 0 0000000000000000 111111.1
1e-07 0 0000000000000000 111111.1
2e-07 0.13951293356 0000100011101110 111111.1
3e-07 0.278346174267 0001000111010000 111111.1
4e-07 0.415823340663 0001101010011101 111111.1
5e-07 0.551274657947 0010001101001000 111111.1
6e-07 0.684040221048 0010101111000111 111111.1
7e-07 0.813473209619 0011010000010000 111111.1
8e-07 0.938943039274 0011110000011000 111111.1
9e-07 1.05983843374 0100001111010100 111111.1
1e-06 1.17557040292 0100101100111101 111111.1
1.1e-06 1.28557511241 0101001001000111 111111.1
1.2e-06 1.38931663044 0101100011101011 111111.1
1.3e-06 1.48628953884 0101111100011111 111111.1
1.4e-06 1.57602139546 0110010011011110 111111.1
1.5e-06 1.6580750358 0110101000011110 111111.1
1.6e-06 1.73205070285 0110111011011010 111111.1
1.7e-06 1.79758799467 0111001100001100 111111.1
1.8e-06 1.85436762022 0111011010101110 111111.1
1.9e-06 1.90211295493 0111100110111100 111111.1
2e-06 1.94059138837 0111110000110011 111111.1
2.1e-06 1.96961545753 0111111000001110 111111.1
2.2e-06 1.98904376009 0111111101001100 111111.1
2.3e-06 1.99878164332 0111111111101100 111111.1
2.4e-06 1.99878166525 0111111111101100 111111.1
2.5e-06 1.98904382576 0111111101001100 111111.1
2.6e-06 1.96961556664 0111111000001110 111111.1
2.7e-06 1.94059154038 0111110000110011 111111.1
2.8e-06 1.90211314909 0111100110111100 111111.1
2.9e-06 1.85436785559 0111011010101110 111111.1
3e-06 1.7975882701 0111001100001100 111111.1
3.1e-06 1.73205101701 0110111011011010 111111.1
3.2e-06 1.65807538715 0110101000011110 111111.1
3.3e-06 1.57602178229 0110010011011110 111111.1
3.4e-06 1.48628995927 0101111100011111 111111.1
3.5e-06 1.38931708241 0101100011101011 111111.1
3.6e-06 1.28557559373 0101001001000111 111111.1
3.7e-06 1.17557091124 0100101100111101 111111.1
3.8e-06 1.05983896658 0100001111010100 111111.1
3.9e-06 0.938943594046 0011110000011000 111111.1
4e-06 0.813473783616 0011010000010000 111111.1
4.1e-06 0.684040811475 0010101111000111 111111.1
4.2e-06 0.551275261926 0010001101001000 111111.1
4.3e-06 0.415823955251 0001101010011101 111111.1
4.4e-06 0.27834679647 0001000111010000 111111.1
4.5e-06 0.139513560348 0000100011101110 111111.1
4.6e-06 6.28318536112e-07 0000000000000000 111111.1
4.7e-06 -0.139512306772 1111011100010010 111111.1
4.8e-06 -0.278345552063 1110111000110000 111111.1
4.9e-06 -0.415822726075 1110010101100011 111111.1
5e-06 -0.551274053968 1101110010111000 111111.1
5.1e-06 -0.684039630622 1101010000111001 111111.1
5.2e-06 -0.813472635621 1100101111110000 111111.1
5.3e-06 -0.938942484501 1100001111101000 111111.1
5.4e-06 -1.05983790089 1011110000101100 111111.1
5.5e-06 -1.1755698946 1011010011000011 111111.1
5.6e-06 -1.28557463109 1010110110111001 111111.1
5.7e-06 -1.38931617846 1010011100010101 111111.1
5.8e-06 -1.48628911841 1010000011100001 111111.1
